,index,date,time,open,high,low,close,id
0,BANKNIFTY,20121203,09:16,12125.7,12161.7,12125.7,12160.95,2012DECBNF.txt
44,BANKNIFTY,20121203,10:00,12117.15,12121.75,12109.1,12109.1,2012DECBNF.txt
104,BANKNIFTY,20121203,11:00,12091.65,12093.55,12090.05,12091.35,2012DECBNF.txt
164,BANKNIFTY,20121203,12:00,12095.3,12099.2,12095.3,12098.9,2012DECBNF.txt
224,BANKNIFTY,20121203,13:00,12100.4,12104.9,12100.4,12102.8,2012DECBNF.txt
284,BANKNIFTY,20121203,14:00,12076.5,12086.2,12076.5,12086.2,2012DECBNF.txt
344,BANKNIFTY,20121203,15:00,12089.45,12090.35,12087.55,12087.55,2012DECBNF.txt
374,BANKNIFTY,20121203,15:30,12103.55,12103.55,12095.4,12099.75,2012DECBNF.txt
375,BANKNIFTY,20121204,09:16,12095.95,12105.2,12080.5,12105.2,2012DECBNF.txt
419,BANKNIFTY,20121204,10:00,12123.75,12124.0,12118.35,12118.35,2012DECBNF.txt
479,BANKNIFTY,20121204,11:00,12173.2,12173.2,12171.75,12171.75,2012DECBNF.txt
539,BANKNIFTY,20121204,12:00,12153.75,12158.45,12153.65,12157.4,2012DECBNF.txt
599,BANKNIFTY,20121204,13:00,12127.4,12131.6,12125.55,12131.6,2012DECBNF.txt
659,BANKNIFTY,20121204,14:00,12165.65,12166.45,12162.9,12163.85,2012DECBNF.txt
719,BANKNIFTY,20121204,15:00,12184.2,12184.2,12179.0,12181.1,2012DECBNF.txt
749,BANKNIFTY,20121204,15:30,12186.65,12187.95,12176.35,12182.1,2012DECBNF.txt
750,BANKNIFTY,20121205,09:16,12243.55,12261.65,12243.55,12257.65,2012DECBNF.txt
794,BANKNIFTY,20121205,10:00,12296.15,12299.2,12295.65,12297.35,2012DECBNF.txt
854,BANKNIFTY,20121205,11:00,12270.0,12279.55,12270.0,12279.55,2012DECBNF.txt
914,BANKNIFTY,20121205,12:00,12240.85,12243.55,12240.5,12243.1,2012DECBNF.txt
974,BANKNIFTY,20121205,13:00,12255.65,12255.65,12253.65,12255.5,2012DECBNF.txt
1034,BANKNIFTY,20121205,14:00,12280.55,12289.9,12279.1,12289.9,2012DECBNF.txt
1094,BANKNIFTY,20121205,15:00,12272.15,12281.7,12272.15,12280.9,2012DECBNF.txt
1124,BANKNIFTY,20121205,15:30,12292.25,12292.25,12286.4,12289.2,2012DECBNF.txt
1125,BANKNIFTY,20121206,09:16,12358.8,12358.8,12316.25,12316.25,2012DECBNF.txt
1169,BANKNIFTY,20121206,10:00,12228.4,12232.3,12227.95,12230.65,2012DECBNF.txt
1229,BANKNIFTY,20121206,11:00,12161.85,12165.0,12161.85,12164.8,2012DECBNF.txt
1289,BANKNIFTY,20121206,12:00,12185.65,12187.4,12183.85,12185.4,2012DECBNF.txt
1349,BANKNIFTY,20121206,13:00,12189.85,12190.25,12188.9,12188.9,2012DECBNF.txt
1409,BANKNIFTY,20121206,14:00,12199.5,12199.55,12196.25,12196.25,2012DECBNF.txt
1469,BANKNIFTY,20121206,15:00,12330.85,12331.3,12326.1,12330.25,2012DECBNF.txt
1499,BANKNIFTY,20121206,15:30,12476.1,12480.6,12474.35,12479.8,2012DECBNF.txt
1500,BANKNIFTY,20121207,09:16,12477.85,12477.85,12459.15,12460.2,2012DECBNF.txt
1544,BANKNIFTY,20121207,10:00,12402.5,12409.15,12401.0,12409.15,2012DECBNF.txt
1604,BANKNIFTY,20121207,11:00,12431.5,12433.55,12430.95,12433.55,2012DECBNF.txt
1664,BANKNIFTY,20121207,12:00,12419.1,12419.2,12418.5,12418.75,2012DECBNF.txt
1724,BANKNIFTY,20121207,13:00,12374.5,12387.3,12374.5,12387.3,2012DECBNF.txt
1784,BANKNIFTY,20121207,14:00,12350.7,12358.2,12350.7,12357.35,2012DECBNF.txt
1844,BANKNIFTY,20121207,15:00,12392.95,12402.15,12392.95,12398.2,2012DECBNF.txt
1874,BANKNIFTY,20121207,15:30,12340.6,12345.0,12337.05,12337.05,2012DECBNF.txt
1875,BANKNIFTY,20121210,09:16,12384.8,12384.8,12374.2,12383.8,2012DECBNF.txt
1919,BANKNIFTY,20121210,10:00,12367.4,12373.25,12366.65,12372.55,2012DECBNF.txt
1979,BANKNIFTY,20121210,11:00,12382.55,12384.0,12382.5,12382.6,2012DECBNF.txt
2039,BANKNIFTY,20121210,12:00,12379.15,12380.95,12379.15,12380.95,2012DECBNF.txt
2099,BANKNIFTY,20121210,13:00,12365.6,12366.95,12360.15,12362.45,2012DECBNF.txt
2159,BANKNIFTY,20121210,14:00,12353.1,12356.55,12353.1,12356.55,2012DECBNF.txt
2219,BANKNIFTY,20121210,15:00,12361.4,12361.4,12357.45,12359.65,2012DECBNF.txt
2249,BANKNIFTY,20121210,15:30,12385.5,12385.5,12371.7,12371.7,2012DECBNF.txt
2250,BANKNIFTY,20121211,09:16,12424.3,12434.7,12419.45,12424.05,2012DECBNF.txt
2294,BANKNIFTY,20121211,10:00,12518.05,12519.85,12516.95,12518.35,2012DECBNF.txt
2354,BANKNIFTY,20121211,11:00,12467.15,12468.95,12465.5,12468.95,2012DECBNF.txt
2414,BANKNIFTY,20121211,12:00,12444.1,12446.7,12443.25,12446.7,2012DECBNF.txt
2474,BANKNIFTY,20121211,13:00,12377.15,12377.15,12373.5,12373.75,2012DECBNF.txt
2534,BANKNIFTY,20121211,14:00,12292.35,12300.05,12290.35,12299.65,2012DECBNF.txt
2594,BANKNIFTY,20121211,15:00,12306.05,12308.35,12303.3,12304.9,2012DECBNF.txt
2624,BANKNIFTY,20121211,15:30,12332.65,12335.4,12328.05,12331.3,2012DECBNF.txt
2625,BANKNIFTY,20121212,09:16,12367.25,12367.25,12354.25,12357.65,2012DECBNF.txt
2669,BANKNIFTY,20121212,10:00,12302.45,12308.35,12302.45,12306.1,2012DECBNF.txt
2729,BANKNIFTY,20121212,11:00,12316.9,12317.75,12310.3,12310.3,2012DECBNF.txt
2789,BANKNIFTY,20121212,12:00,12300.2,12302.55,12295.75,12298.3,2012DECBNF.txt
2849,BANKNIFTY,20121212,13:00,12357.95,12359.9,12357.95,12359.9,2012DECBNF.txt
2909,BANKNIFTY,20121212,14:00,12315.7,12315.7,12307.4,12307.4,2012DECBNF.txt
2969,BANKNIFTY,20121212,15:00,12305.4,12312.75,12303.5,12306.35,2012DECBNF.txt
2999,BANKNIFTY,20121212,15:30,12271.35,12277.1,12271.35,12275.9,2012DECBNF.txt
3000,BANKNIFTY,20121213,09:16,12329.2,12341.55,12329.2,12341.55,2012DECBNF.txt
3044,BANKNIFTY,20121213,10:00,12340.5,12341.5,12338.25,12338.65,2012DECBNF.txt
3104,BANKNIFTY,20121213,11:00,12404.15,12405.8,12403.45,12404.4,2012DECBNF.txt
3164,BANKNIFTY,20121213,12:00,12395.95,12395.95,12392.6,12392.85,2012DECBNF.txt
3224,BANKNIFTY,20121213,13:00,12403.9,12405.5,12403.2,12404.4,2012DECBNF.txt
3284,BANKNIFTY,20121213,14:00,12342.75,12342.75,12328.05,12328.05,2012DECBNF.txt
3344,BANKNIFTY,20121213,15:00,12266.85,12267.65,12254.35,12254.35,2012DECBNF.txt
3374,BANKNIFTY,20121213,15:30,12260.65,12267.95,12259.55,12265.05,2012DECBNF.txt
3375,BANKNIFTY,20121214,09:16,12249.65,12284.4,12249.65,12273.2,2012DECBNF.txt
3419,BANKNIFTY,20121214,10:00,12266.75,12266.75,12263.25,12263.25,2012DECBNF.txt
3479,BANKNIFTY,20121214,11:00,12270.4,12270.4,12263.95,12264.2,2012DECBNF.txt
3539,BANKNIFTY,20121214,12:00,12380.75,12380.75,12374.65,12375.7,2012DECBNF.txt
3599,BANKNIFTY,20121214,13:00,12367.9,12367.9,12356.2,12356.2,2012DECBNF.txt
3659,BANKNIFTY,20121214,14:00,12373.55,12376.2,12373.0,12374.55,2012DECBNF.txt
3719,BANKNIFTY,20121214,15:00,12387.5,12389.45,12384.8,12388.85,2012DECBNF.txt
3749,BANKNIFTY,20121214,15:30,12440.95,12447.35,12440.95,12446.5,2012DECBNF.txt
3750,BANKNIFTY,20121217,09:16,12407.45,12434.9,12407.45,12432.7,2012DECBNF.txt
3794,BANKNIFTY,20121217,10:00,12430.85,12438.35,12430.85,12437.5,2012DECBNF.txt
3854,BANKNIFTY,20121217,11:00,12439.4,12439.7,12437.4,12437.4,2012DECBNF.txt
3914,BANKNIFTY,20121217,12:00,12451.9,12452.55,12450.7,12451.65,2012DECBNF.txt
3974,BANKNIFTY,20121217,13:00,12437.2,12437.2,12433.45,12436.45,2012DECBNF.txt
4034,BANKNIFTY,20121217,14:00,12422.1,12422.8,12421.45,12421.8,2012DECBNF.txt
4094,BANKNIFTY,20121217,15:00,12412.2,12415.25,12407.75,12408.05,2012DECBNF.txt
4124,BANKNIFTY,20121217,15:30,12423.6,12425.6,12418.1,12418.1,2012DECBNF.txt
4125,BANKNIFTY,20121218,09:16,12466.55,12471.65,12460.3,12460.3,2012DECBNF.txt
4169,BANKNIFTY,20121218,10:00,12430.2,12432.65,12426.8,12426.8,2012DECBNF.txt
4229,BANKNIFTY,20121218,11:00,12310.7,12336.75,12310.7,12327.0,2012DECBNF.txt
4289,BANKNIFTY,20121218,12:00,12330.55,12332.9,12326.65,12328.25,2012DECBNF.txt
4349,BANKNIFTY,20121218,13:00,12377.35,12380.75,12375.9,12375.9,2012DECBNF.txt
4409,BANKNIFTY,20121218,14:00,12490.7,12492.8,12484.75,12492.8,2012DECBNF.txt
4469,BANKNIFTY,20121218,15:00,12463.95,12464.95,12456.65,12457.3,2012DECBNF.txt
4499,BANKNIFTY,20121218,15:30,12485.05,12485.05,12475.6,12477.8,2012DECBNF.txt
4500,BANKNIFTY,20121219,09:16,12536.45,12558.15,12536.45,12558.15,2012DECBNF.txt
4544,BANKNIFTY,20121219,10:00,12521.55,12521.55,12517.85,12521.4,2012DECBNF.txt
4604,BANKNIFTY,20121219,11:00,12494.2,12495.3,12494.2,12494.65,2012DECBNF.txt
4664,BANKNIFTY,20121219,12:00,12508.15,12510.4,12507.35,12507.7,2012DECBNF.txt
4724,BANKNIFTY,20121219,13:00,12495.75,12501.9,12493.5,12501.9,2012DECBNF.txt
4784,BANKNIFTY,20121219,14:00,12497.2,12499.4,12497.0,12497.0,2012DECBNF.txt
4844,BANKNIFTY,20121219,15:00,12507.45,12508.5,12506.1,12508.5,2012DECBNF.txt
4874,BANKNIFTY,20121219,15:30,12496.1,12496.1,12487.3,12487.3,2012DECBNF.txt
